,content,label
0,ウクライナは、ロシアの侵攻以来、インターネットがつながりにくい状況が起きていました。,1
1,そしてまた、このツイートから十時間後に、イーロン・マスク氏はサービスの提供を決めたということでございます。,2
2,また、これは難民の方に加えて、いろいろな状況の中で、地域に定住というか、地域の担い手として頑張られる方もいらっしゃる。,2
3,しかしながら、委員御指摘のように、新型コロナの影響によりインバウンド需要が消失したままの状態が二年以上に及ぶ中、通訳案内士の皆様は大変厳しい環境に置かれています。,1
4,これはかなり精巧なものでして、この中にロシア語も入っています。,1
5,残念ながら、ウクライナ語はコーパスというあれがまだ入っていないみたいですけれども、こういったところにも是非使われるといいんじゃないかというふうに思っています。,1
6,その際に、実は、僕は当時、高校の校長でしたので、学校はすぐに休校にしましたが、翌日からボランティアの活動に、動ける先生や生徒といたしましたが、そのときには、当時、まだコロナではありませんでしたので、外国人の旅行者がたくさん札幌にいらしていたんですが、そういった外国人の旅行者向けの対応というのがなかなかすぐできていなかったという状態があります。,1
7,そうなったときに、実は、こういったアプリを携帯電話にインストールして、少しでも何かお役に立てませんかというやり取りをいたしました。,2
8,ありがとうございます。,1
9,全くそのとおりだというふうに僕も聞きながら感じておりました。,2
10,もちろん、再三この委員会でも質問が多くされてきたことではありますが、改めて。,1
11,ニューラルネットの直感を最適化のような探索的処理に活かしていくことは重要な課題で、多くの応用があり得ますね。,1
12,また、加えて、組合の研修というのも行われています。,1
13,それによると、とにかく輸出のため手続が大変だそうです。,1
14,例えば、日本の伝統工芸品などの輸出をするときは翻訳した商品の説明と写真があればいいんですが、お酒を輸出するときには物すごくたくさんの書類を作成しなければいけません。,1
15,お酒の成分表示にとどまらず、安全性の表記、添加物の有無などの細やかな説明と、さらに、通関関係の書類を日本国内、相手国への官公庁への提出、それに加え、取引先企業向けの膨大な提出資料も要します。,1
16,これらの書類を英語や中国語などに翻訳する、これが本当に大変だそうです。,1
17,恐らく大手企業の酒造メーカーならできますが、中小零細の蔵元では難しい現実があります。,1
18,特に、本格焼酎である単式焼酎業者は零細企業がほとんどです。,1
19,それに対して、一つ国際言語があれば、自国通貨以外に国際言語一つさえ分かれば、世界中の人と交易もでき、対話もできる。,0
20,そういう点から、国際言語というのはどうしても一つに集中してしまう。,0
21,だから、現在、それから近い将来も、ずっと英語だろうと。,0
22,それと同様に、国際通貨も、取引のいろいろなところで別々の通貨でやっていると非常に不便で、結局、一つの通貨、ドルに集中してしまう。,0
23,ですから、これは当分、未来永劫とは彼は言いませんでしたが、変わらないだろう、こういうふうに言っているわけですね。,1
24,そうなってくると、ドルだけがほとんど唯一の国際通貨として流通している事情が変わるのではないか、キンドルバーガー教授の言っていた説はデジタル化の世界で少し変わってくるのではないかということを言う経済学者も出てきております。,2
25,二之湯大臣の地元の京都府も調べたんですけれども、日本語のみということです。,1
26,神奈川県は英語があります。,1
27,2時間未満の授業のために2時間以上使って大学に行かないといけないのやばすぎるんだよな,0
28,御答弁ないんですけれども、櫻井先生の方から何か場外発言があって、助けていただけるような御発言と聞き受けましたので、後ほど櫻井先生に御相談させていただきたいと思いますので、どうぞよろしくお願い申し上げます。,2
29,この間からいろいろと説明させていただいているんですけれども、ビットコインという暗号資産、仮想通貨は皆さん御存じだと思います。,2
30,イーサリアムというのは、同じようなのがあって、イーサリアムというのは暗号資産、仮想通貨という役割を持っている一方、自分のトークンをコンピューター上で発行することができる、そういう仕組みを提供しているプラットフォーマーと言っていいと思います。,1
31,しかも、例えば、ここにいらっしゃる皆様方とコンピューターをつないで私がそういうサービスを提供すると。,0
32,だから、何か質問のネタありませんかいうところで、こんなんどういうて、ああ、じゃ、それ一トークンで買いますとかですね、そういう、まあ冗談ですよ、冗談ですよ。,1
33,そういうことも可能になるわけであって、普通に家事労働とかスキルの交換、私は英語ができるから英語を教えるから、中国語教えてねと、今まで物々交換、サービスサービス交換に、やっていたところに、その真ん中にトークンという仮想通貨を挟む、挟めるということなんですね。,1
34,このため、国内消費者向けには、例えば食品安全総合情報サイトを消費者にとってより使いやすいものとなるよう、構成等の見直しを行う予定でございます。,2
35,また、各府省庁においても海外向けの情報発信がなされており、例えば外務省においては、日本産食品の規制等に関する英語の動画作成等が行われていると承知しております。,2
36,閣僚全体が、全員が復興大臣と、こうした岸田総理の指示を踏まえまして、消費者庁におきましても、行動計画に基づいた被災地産品の支援、またエシカル消費の考え方も取り入れながら、食品と放射能に関する消費者とのリスクコミュニケーションを更に強化してまいり、風評被害の抑制にしっかりと取り組んでまいりたいと思っております。,2
37,もう一つは、ちょっと厳しい言葉で言うと、貧乏の脱却、やはり、一人当たりの県民所得が全国最下位だ、この状態をもう終わりにしたい、こういう思いが強くあります。,1
38,今日はこういったことを胸に質問をさせていただきます。,2
39,大臣も所信からずっとおっしゃっておられると理解をしております。,2
40,そのために、将来に向けて、沖縄の子供というのはみんな普通英語しゃべれるんだよな、こんな社会をつくりたいなと思っています。,1
41,こういった方の協力をいただいて、基地の中であれ外であれ、外国の方の家庭に沖縄の子が義務教育の期間中であれば何回でも公費でホームステイができる、そして、その中で、まさに御家族で住んでいらっしゃいますから、英語には限らないと思いますけれども、例えば英語圏の国の方であればネイティブイングリッシュ、こういう言葉を何度も何度も沖縄の子供が浴びていく。,2
42,そういったことを繰り返していく中で、中学終わると沖縄の子というのは普通英語しゃべれるんだよねみたいな形に持ち込みたい。,0
43,私はそんな社会を構築したい。,0
44,現代における現代版の万国津梁プランをつくっていく、そんな思いで、教育の分野、人材育成の分野にこういったものを投資をしていきたいと考えています。,1
45,広く県内の子供たちが利用できるような形で、全国にも展開するという、今ある資源を活用して、外国に行かなくても留学ができる、こういったことをやっていらっしゃる皆さんもいます。,2
46,こういったものを活用していきたい、そう考えています。,1
47,沖縄の振興に資する多様な人材を育成するために必要な教育に関する施策の充実に関する努力規定が新設されています。,1
48,県内において費用をかけることなくホームステイができる環境、これを利用してネイティブな外国語を浴びてもらう。,0
49,それが重なって、重なって、重なって、強い沖縄経済を支え得る人材をここでつくれるというふうに考えています。,1
50,司法外交というソフトパワーの意義は今後ますます重要になりますし、これからは攻める法務省への期待が高まると感じています。,1
51,日本人ならではの誠実さと質の高い仕事を世界にアピールできるように、司法外交の更なる推進に期待をいたします。,2
52,避難先としてシンガポールと日本がライバル関係にありますが、日本の国際競争力強化のために、国際ビジネスにとって魅力的なインフラ整備が急務であります。,2
53,シンガポールとは比較にならない高額の税率を踏まえても、国土の大きさ、民主的社会基盤など、日本が提供できる魅力は大きいと考えます。,1
54,日本法はまともな英訳すらないものが多く、また、各種届出も英語では受け付けていません。,1
55,英語を公用語としているシンガポールとは異なり、日本では当局の英語対応能力も極めて低いのが実情です。,1
56,欧米レベルのビジネスにおける適正手続の整備も、まだまだ遅れています。,1
57,こうした課題の多くは法務省の所掌範囲であり、法務省の取組が日本市場の国際的ハブとしての復活のための大きな鍵を握っていると感じております。,2
58,ちなみに、このサービスは、英語を含めて十か国語に対応しております。,2
59,各省庁それぞれの行政分野ごとに、実務的な制約や国内産業保護の必要性、安全保障上の配慮など、様々な考慮要素を抱えているとは思いますが、全体的な方向性として、日本のビジネス環境をグローバルなものにするために、各省庁が協働し、政府が一体となって手続の英語化を進めるべきと考えます。,1
