,content,label
0,私はフラッシュとリッチー・リッチが好きです。あなたのお気に入りは何ですか？ Netflixのアイデアは、今日20億ビジネスなので、私も考えていたらよかったのに。,1
1,では、子供の頃の親友について教えてください。,1
2,そうです、イタリア語の発音で、グッチは1921年に設立されました。番組で歴史と事実を知って、私は質屋が好きでした。,1
3,携帯電話を毎日使わなければ、清潔な水を寄付してくれます,1
4,はい。 彼らは今ビデオゲームに夢中だよ（本心を言えばやりすぎ）。あなたと話せて 楽しかった！  良い一日を過ごして！,0
5,WiiでSplatをプレーしますか、それとも任天堂でWii Sports？,1
6,私も同感だよ、ひとりずつ体は違うので、私は自分の体をよく理解して、より速く、より強く、進歩できるように努める。,0
7,私が心配しなくてもいいように、子供が心配しなくてもいいように、孫が心配しなくてもいいように、数字のゼロがたくさん入った銀行口座をくれればいいんだ。,0
8,よくわからないが、彼らはどうやってこれを行うのだろう？,0
9,運動靴にティーバッグを入れてみるよ。それが臭いを吸収するかどうか見てくれ...,0
10,いいえ、同感です。ところで、アカデミー賞授賞式は見ますか?24個の賞があって、最初に放送されたのは1930年らしいです。すごいですよね。,1
11,うん、私も大学で仲間を作るために時間を費やしたりしなかった。,0
12,うん、私も。彼らの中には自分の大きさの2倍もある獲物を食べることができるものもいるw,0
13,あなたのはどんな感じですか？,1
14,そうなんだ、切り捨てたと思っていたよ。前にも言ったが、私は彼のことが好きだし、彼は素晴らしくてクールな人だと思う。彼はいつも私にとても親切にしてくれた,0
15,ネイティブアメリカンの本には詳しいですか？,1
16,オンラインショッピングで何かが欠けているような気がしますか？品物を直接見ないこと？品物に触れたり、感じたり、手に取ったりしないことでしょうか？,1
17,面白いです。ボルダーに知人がいるので、聞いてみますよ。話せて楽しかったです。,1
18,確かにそれはある意味奇妙ですね!話せて楽しかったですよ。これから犬を散歩に連れて行かないといけません。,1
19,私は3rd Rockが大好きでした！漫画は好きですか？私はそうでもありませんが、息子たちは好きです。,1
20,ええ、つまり、あなたは私よりも素晴らしい経験をされたようだね。つまり、私がアイルランドを好きな理由は,0
21,映画のチケットの現在の値段について問い合わせしようとしています。,1
22,ええ、高校時代の彼氏がスターウォーズを見ようとしてくれたんだけど、私はあまり興味を持てなかった。そうね、確かにそうかもしれない。もしかしたら......もしなくても,0
23,ただ彼らにやってもらいたいです。分かりますよね。,1
24,ああ、私は知っているよ、数十年前から。たくさんあり、今日、皆はそれがどれほど素晴らしいかわかっていないんだ！,0
25,実はほとんどは耳が聞こえないらしいです。ところで、イーロン・マスクについてどう思いますか?ものすごい話題の転換ですがね,1
26,払わせてと言っても、車から財布を出させてくれない。本当に素晴らしい人だ。彼はキューバ出身だ。,0
27,アメリカが月に旗を立ててから、その旅がどのように変わったかが私には気になるが、おそらくそう素晴らしいものではない。,0
28,興味深いですね。ユニセフには、携帯電話を1分使わなければ清潔な水を寄付するプログラムがあります。,1
29,私の姉妹たちは皆大学に行きました。大学を卒業して、兄は(修士号)を取りました。学校は家族です。学校に行く(べきです)。,1
30,いえ、でもそれはいいですね!もう聞いたか分かりませんが、どのゲームをしますか?あるいはしていましたか?,1
31,こんにちは！あなたの政治的指向を教えてくれないかい？個人的に、私は自分自身を独立者と呼んでいるんだ。しかし、私はどちらかというと無所属という言葉が好きだよ。,0
32,事前に計画できると思うよ。 多分長い週末に。 そうすれば良く理解する時間ができるだろう。,0
33,ええ、通常、私のホームチームがうまくやっている時だ。,0
34,私はその番組は見ません、彼がもっと良い仕事をしていただろうと思いますか？,1
35,ご家族みんなで会える場所に行けるかどうか見てみようと思います。,1
36,はい私も。 私は時々ジャズを聴くのが好きだよ。 ハーレムには、20年間毎週土曜日にアパートでフリージャズコンサートを開催している女性すらいるよ。,0
37,そうですね。携帯電話はよく使いますか?,1
38,彼がそうした時はとてもかっこよかったです!トゥーパックはバレエを踊ったことがあるってどこかで聞きましたが。あなたは何か聞いたことがありますか?,1
39,それで次の日の夜、いわゆる夜のチェックに行った。彼女にも会うことができるように私は妹を連れて行った。彼女は低脂肪とノアを買った。,0
40,やあ、元気か、グーグルはよく使うかい。私はこの会社が大好きで、1998年に設立されたと聞いて驚いたよ。,0
41,あなたがただ、疲れ切っている唯一の理由は、週末と休日などすべてに予定が入っているということです。,1
42,彼らのところで仕事をするとパンダのコスチュームを着なければなりません！,0
43,ホテルに泊まったのかどうか知りませんが、気に入ったスポットやそこでの良い思い出はありますか？,1
44,どういうやり方かというと、彼らがそれをバッグに詰めて引っ張ってきて、製造したことがない新しい製品をそこに持ち込むだけです,1
45,つまり - 間違いなく音楽だと思うよ...しかし、私の好みでないことは同感だ。,0
46,何？ 本当に？ それは馬鹿げている！ しかし、やっぱり私は量子コンピューターの設計に取り組んでいるので、私自身いくつか奇妙なものを見てきたよ。笑笑 物理は一般的に異様だと思わないか？,0
47,それは正直馬鹿げています。NetflixとYouTubeを合わせたら、北米だけでピーク時のインターネットトラフィックの半分を占めています。,1
48,常に自分のゲームを超えている。私は大丈夫,0
49,どうやってあなたが参加したのか分かりませんが、論文を書いて最高のアイディアを考える必要があるでしょうね。でもとても楽しそうです!,1
50,家族から学んだことをいつでも大切にします。,1
51,ご存知のように、これは列が非常に長くなる可能性があるようです。,1
52,お金を手に入れて、お金を稼ぐのを助けてくれて、私にお金をくれました。言っていること、分かりますよね,0
53,あなたの考え方は、仕事がもっと,0
54,特攻隊でも、自分自身が全体的におかしくなっていくのを感じるようになった、といった感じだった。フェニックスでの仕事は,0
55,とにかく、ご自身でデパートに行くのはどうですか？ 私の言っている意味がわかりますよね、地域一帯を対象とするということです。,1
56,多分彼らはそれをsocballくらいに短くすべきだろうね、笑、良くなった気がするよ。,0
57,もっと多くの人をリストアップしたいのか、それとも続けた方がいいのか？続けてみよう。友達がいる。,0
58,でも、あなたの野球に対するお考えを知りたいです。ストライクかストライクではないか、野球場はフェンスで囲まれているので、ヒューマンエラーということもありますからね。,1
59,とにかくそれを処分したいと思うでしょう、そして彼らがそれを引き取るなら、グッドウィルかバッファローエクスチェンジに行き品物を交換してもらうつもりです、そしてそれはすべて交換できるわけではありません,0
60,私は子供を優先していますよ、特に仕事とか他の事柄よりも。だから、私は子供たちのことがまず優先、仕事よりも。だからいつも家族が先です。,1
61,応援して良いことをして何があってもそこにいます、ほら、仕事、学校、宗教、職業、なんでも。家族は一番神聖なものかもしれません,1
62,私が最初に始めたとき、4時に起きるのは大変だったが今では習慣になっているよ。他の方法でそれをする時間がないので、私にとっては最高の選択肢だ。とてもリラックスし心も晴れる。,0
63,彼らは最近多くの競争に直面しています。どんなゲームをしましたか？,1
64,私には、ちょっとクレイジーな誘い方だな、という感じだ。,0
65,ええ、それはとても楽しいだろうね。 猫がこんなに寝るなんて知らなかったよ。 いいに違いないね。,0
66,私のホームフライ。そして、ホームフライの付け合せをく持ってるよ。気にしないで。,0
67,あなたにはできません、ファイルに書かれていることだけでは十分ではない、ということです。つまり、家族が先か、仕事が先か,0
